347283,EC-NSG,ES,27.946106,-15.381123,335,17,214,3.6,5061,63FK,IBB63FK,NT208,GCLP,LPA,GCFV,FUE,IBB,NT,AT76,1686299209,en-route
347287,EC-NTO,ES,40.687637,7.312805,10980,88,916,0.3,1000,31BY,IBE31BY,IB3156,LEMD,MAD,LDDU,DBV,IBE,IB,A20N,1686299210,en-route
347308,EC-NXX,ES,34.871658,-9.96034,12192,41,938,0,6276,183,SWT183,WT183,GCXO,TFN,LEMD,MAD,SWT,WT,B738,1686299212,en-route
347312,EC-NVQ,ES,39.4702,-4.601501,9730,22,800,-8.8,6253,9045,AEA9045,UX9045,GCXO,TFN,LEMD,MAD,AEA,UX,B738,1686299210,en-route
347344,EC-NVS,ES,40.961735,-3.772306,3299,131,488,-2.3,6035,4CL,IBE04CL,IB479,LEAS,OVD,LEMD,MAD,IBE,IB,A20N,1686299214,en-route
347348,EC-NVZ,ES,39.015152,-20.104858,13098,88,955,0,0305,52,AEA52,UX52,MUHA,HAV,LEMD,MAD,AEA,UX,B788,1686299033,en-route
347388,EC-NXE,ES,22.966919,-97.614922,12192,191,907,0,0703,6409,IBE6409,IB6409,LEMD,MAD,MMMX,MEX,IBE,IB,A359,1686299198,en-route
347403,EC-NYU,ES,36.80378,-4.168552,365,17,124,-3.6,7246,P208,1686299213,en-route
347404,EC-NYV,ES,36.761463,-4.09194,579,264,151,1,7243,P208,1686299214,en-route
347453,EC-NZP,ES,41.147827,2.953735,10957,100,892,0,5336,31CC,IBE31CC,IB3152,LEMD,MAD,LGAV,ATH,IBE,IB,A20N,1686299211,en-route
347488,EC-NZF,ES,39.569275,-9.723677,12192,83,981,0,3343,3410,WFL3410,2W3410,MDSD,SDQ,LEMD,MAD,WFL,2W,A359,1686299213,en-route
347541,EC-OBS,ES,40.370544,-3.786682,685,266,44,0,7317,QYU,QYU,SIRA,1686299190,en-route
353344,TR.20-03,ES,36.897118,-5.835651,2438,228,416,0,6074,QYM,AME,C560,1686299212,en-route
356341,T.24-01,ES,39.061333,-4.614929,10096,222,774,7.8,2643,4534,AME4534,LETO,TOJ,AME,A332,1686299211,en-route
392035,F-GIBV,FR,45.624218,5.872604,3749,141,150,3.6,7073,LFLB,CMF,PC6T,1686299210,en-route
